id_visita,data,cliente_id,vendedor_id,tipo_visita,objetivo,status
58,2025-01-01,5315,2001,Online,Prospecção,Realizada
59,2025-05-16,5464,1005,Online,Pós-venda,Realizada
60,2025-04-13,5065,1040,Presencial,Prospecção,Realizada
61,2025-04-04,5376,1024,Presencial,Prospecção,Realizada
62,2025-03-23,5051,2024,Online,Negociação,Realizada
63,2025-04-17,5429,1010,Presencial,Negociação,Pendente
64,2025-06-05,5013,2002,Telefone,Negociação,Pendente
65,2025-06-25,5086,1050,Presencial,Prospecção,Realizada
66,2025-05-06,5208,2018,Telefone,Negociação,Realizada
67,2025-06-12,5481,1026,Online,Negociação,Realizada
68,2025-04-22,5116,1008,Telefone,Prospecção,Pendente
69,2025-06-07,5136,1002,Telefone,Negociação,Realizada
70,2025-04-09,5430,1035,Presencial,Negociação,Realizada
71,2025-02-25,5113,1024,Telefone,Prospecção,Realizada
72,2025-01-19,5273,1019,Telefone,Pós-venda,Realizada
73,2025-05-14,5161,1023,Online,Pós-venda,Pendente
74,2025-01-23,5065,2029,Online,Prospecção,Realizada
75,2025-01-23,5231,2001,Presencial,Pós-venda,Realizada
76,2025-06-04,5301,1014,Telefone,Prospecção,Realizada
77,2025-05-02,5201,1042,Telefone,Prospecção,Realizada
78,2025-03-19,5007,1035,Presencial,Pós-venda,Realizada
79,2025-04-12,5173,1018,Telefone,Negociação,Pendente
80,2025-05-03,5255,1050,Online,Negociação,Realizada
81,2025-03-10,5420,1016,Presencial,Negociação,Realizada
82,2025-02-11,5403,2005,Online,Prospecção,Pendente
83,2025-03-13,5356,1001,Presencial,Negociação,Pendente
84,2025-04-25,5354,2016,Online,Pós-venda,Realizada
85,2025-06-20,5167,1001,Presencial,Prospecção,Realizada
86,2025-04-28,5266,1009,Online,Pós-venda,Pendente
87,2025-02-10,5353,2012,Presencial,Prospecção,Pendente
88,2025-02-13,5214,1020,Telefone,Pós-venda,Pendente
89,2025-03-17,5111,2017,Online,Negociação,Realizada
90,2025-06-25,5309,2004,Presencial,Negociação,Realizada
91,2025-06-01,5128,2022,Telefone,Pós-venda,Pendente
92,2025-05-28,5178,2038,Telefone,Negociação,Pendente
93,2025-04-23,5065,1006,Presencial,Prospecção,Realizada
94,2025-03-24,5201,2025,Online,Pós-venda,Realizada
95,2025-01-07,5366,1035,Presencial,Prospecção,Realizada
96,2025-02-22,5307,1034,Presencial,Pós-venda,Pendente
97,2025-03-12,5113,2038,Presencial,Negociação,Pendente
98,2025-01-05,5138,1004,Presencial,Pós-venda,Pendente
99,2025-05-27,5410,1056,Telefone,Prospecção,Pendente
100,2025-03-13,5079,1020,Online,Prospecção,Realizada
101,2025-06-19,5338,2027,Telefone,Pós-venda,Realizada
102,2025-06-16,5262,1008,Online,Prospecção,Pendente
103,2025-01-23,5479,2036,Telefone,Pós-venda,Pendente
104,2025-05-13,5015,2003,Telefone,Prospecção,Pendente
105,2025-02-02,5220,1032,Presencial,Pós-venda,Pendente
106,2025-02-14,5332,1006,Online,Pós-venda,Pendente
107,2025-02-11,5498,1055,Presencial,Pós-venda,Pendente
108,2025-02-01,5352,2007,Presencial,Pós-venda,Pendente
109,2025-04-11,5134,2038,Presencial,Prospecção,Pendente
110,2025-01-01,5359,1056,Telefone,Pós-venda,Pendente
111,2025-06-14,5339,2024,Presencial,Negociação,Pendente
112,2025-02-07,5474,2037,Presencial,Prospecção,Pendente
113,2025-05-19,5410,1055,Online,Pós-venda,Pendente
114,2025-06-08,5331,1015,Telefone,Prospecção,Realizada
115,2025-03-29,5228,2038,Online,Negociação,Realizada
116,2025-05-15,5394,1044,Online,Prospecção,Realizada
117,2025-03-12,5498,1044,Presencial,Pós-venda,Pendente
118,2025-04-18,5135,1034,Online,Prospecção,Realizada
119,2025-04-28,5230,1035,Telefone,Prospecção,Pendente
120,2025-01-07,5447,1027,Online,Prospecção,Realizada
121,2025-05-19,5206,2010,Telefone,Prospecção,Realizada
122,2025-01-07,5128,1015,Presencial,Pós-venda,Pendente
123,2025-02-23,5236,1031,Online,Pós-venda,Realizada
124,2025-05-12,5248,2003,Telefone,Negociação,Realizada
125,2025-03-13,5296,2008,Telefone,Prospecção,Pendente
126,2025-05-22,5165,2028,Online,Prospecção,Pendente
127,2025-06-20,5489,1021,Presencial,Pós-venda,Pendente
128,2025-03-14,5178,1020,Presencial,Negociação,Pendente
129,2025-04-25,5496,2026,Telefone,Negociação,Realizada
130,2025-05-22,5215,1007,Presencial,Prospecção,Realizada
131,2025-06-07,5474,1017,Online,Prospecção,Realizada
132,2025-02-18,5205,2004,Presencial,Negociação,Pendente
133,2025-06-02,5063,1024,Online,Pós-venda,Pendente
134,2025-01-03,5206,2024,Presencial,Negociação,Realizada
135,2025-04-16,5209,1006,Presencial,Pós-venda,Realizada
136,2025-03-02,5386,1057,Presencial,Negociação,Pendente
137,2025-03-04,5370,2002,Online,Negociação,Realizada
138,2025-04-25,5354,2027,Online,Pós-venda,Realizada
139,2025-05-16,5012,1034,Telefone,Prospecção,Pendente
140,2025-01-08,5484,2028,Online,Negociação,Pendente
141,2025-05-02,5218,1028,Presencial,Pós-venda,Pendente
142,2025-02-09,5481,2010,Presencial,Negociação,Realizada
143,2025-01-20,5123,1005,Online,Prospecção,Pendente
144,2025-05-21,5487,2039,Telefone,Prospecção,Pendente
145,2025-06-21,5150,1006,Presencial,Negociação,Realizada
146,2025-03-11,5035,1038,Online,Pós-venda,Realizada
147,2025-05-12,5499,1041,Presencial,Negociação,Realizada
148,2025-03-14,5044,1033,Presencial,Prospecção,Realizada
149,2025-04-01,5422,2038,Presencial,Pós-venda,Realizada
150,2025-02-16,5134,2001,Presencial,Negociação,Realizada
151,2025-04-29,5389,1057,Telefone,Negociação,Pendente
152,2025-02-25,5125,1030,Presencial,Negociação,Pendente
153,2025-02-25,5286,1050,Presencial,Pós-venda,Realizada
154,2025-03-26,5411,1013,Presencial,Prospecção,Pendente
155,2025-05-11,5087,1059,Online,Prospecção,Realizada
156,2025-02-22,5353,2039,Telefone,Prospecção,Realizada
157,2025-05-03,5038,1019,Presencial,Negociação,Realizada
158,2025-03-19,5398,2005,Presencial,Pós-venda,Pendente
159,2025-05-22,5385,1054,Online,Prospecção,Realizada
160,2025-04-08,5256,2028,Presencial,Prospecção,Pendente
161,2025-03-17,5242,2022,Telefone,Pós-venda,Pendente
162,2025-06-20,5305,1014,Presencial,Pós-venda,Realizada
163,2025-02-22,5278,1038,Telefone,Pós-venda,Realizada
164,2025-05-21,5073,2010,Online,Pós-venda,Pendente
165,2025-02-02,5234,2004,Presencial,Pós-venda,Realizada
166,2025-05-08,5070,1015,Presencial,Negociação,Pendente
167,2025-03-14,5089,1009,Presencial,Prospecção,Pendente
168,2025-04-21,5371,2004,Presencial,Prospecção,Realizada
169,2025-03-20,5376,1008,Telefone,Pós-venda,Pendente
170,2025-05-26,5439,2026,Presencial,Pós-venda,Pendente
171,2025-04-26,5493,2005,Online,Negociação,Pendente
172,2025-06-27,5376,1007,Online,Prospecção,Realizada
173,2025-03-12,5435,1007,Online,Pós-venda,Realizada
174,2025-05-27,5098,1052,Presencial,Negociação,Realizada
175,2025-05-22,5373,1022,Online,Pós-venda,Pendente
176,2025-05-30,5263,1001,Telefone,Prospecção,Realizada
177,2025-01-19,5431,1038,Online,Negociação,Realizada
178,2025-04-17,5341,1035,Presencial,Prospecção,Realizada
179,2025-06-22,5131,1054,Online,Negociação,Realizada
180,2025-02-28,5328,2039,Telefone,Prospecção,Pendente
181,2025-01-03,5408,1035,Presencial,Negociação,Pendente
182,2025-05-15,5368,1023,Online,Pós-venda,Realizada
183,2025-05-27,5473,2034,Presencial,Negociação,Pendente
184,2025-05-18,5179,2005,Presencial,Prospecção,Pendente
185,2025-05-07,5038,2005,Presencial,Negociação,Realizada
186,2025-02-10,5291,2033,Telefone,Pós-venda,Pendente
187,2025-01-27,5242,2017,Online,Pós-venda,Pendente
188,2025-03-01,5279,1010,Telefone,Negociação,Realizada
189,2025-06-02,5385,2005,Online,Negociação,Realizada
190,2025-02-20,5359,2025,Presencial,Negociação,Pendente
191,2025-05-07,5043,1045,Presencial,Pós-venda,Pendente
192,2025-02-11,5319,2025,Presencial,Pós-venda,Realizada
193,2025-05-08,5404,1023,Presencial,Prospecção,Pendente
194,2025-02-22,5417,1059,Online,Prospecção,Pendente
195,2025-01-03,5284,1044,Presencial,Prospecção,Pendente
196,2025-01-09,5258,2013,Telefone,Pós-venda,Pendente
197,2025-04-04,5130,2034,Online,Prospecção,Pendente
198,2025-01-02,5022,2011,Online,Negociação,Pendente
199,2025-05-14,5207,2033,Telefone,Prospecção,Pendente
200,2025-04-04,5198,2036,Telefone,Pós-venda,Pendente
201,2025-05-30,5351,2018,Telefone,Prospecção,Pendente
202,2025-05-31,5380,1049,Presencial,Prospecção,Realizada
203,2025-01-13,5215,1016,Presencial,Pós-venda,Pendente
204,2025-04-24,5074,1038,Presencial,Prospecção,Pendente
205,2025-03-07,5375,1045,Online,Negociação,Pendente
206,2025-04-13,5026,2008,Presencial,Negociação,Realizada
207,2025-05-28,5421,1028,Telefone,Prospecção,Realizada
208,2025-06-18,5225,1022,Presencial,Pós-venda,Realizada
209,2025-03-19,5200,2011,Presencial,Negociação,Pendente
210,2025-05-01,5489,1044,Telefone,Prospecção,Realizada
211,2025-01-10,5474,2038,Presencial,Pós-venda,Realizada
212,2025-04-06,5028,1044,Presencial,Pós-venda,Realizada
213,2025-04-18,5479,1016,Online,Negociação,Pendente
214,2025-04-08,5271,1014,Telefone,Negociação,Realizada
215,2025-04-25,5203,2028,Online,Pós-venda,Pendente
216,2025-02-26,5069,2010,Presencial,Prospecção,Pendente
217,2025-03-18,5078,1024,Telefone,Prospecção,Pendente
218,2025-05-11,5113,1006,Presencial,Pós-venda,Pendente
219,2025-06-30,5232,1049,Online,Prospecção,Realizada
220,2025-03-29,5232,1029,Online,Prospecção,Realizada
221,2025-02-14,5297,2017,Telefone,Prospecção,Realizada
222,2025-04-08,5222,1009,Telefone,Prospecção,Pendente
223,2025-05-29,5493,2010,Online,Pós-venda,Realizada
224,2025-05-20,5037,1022,Online,Negociação,Pendente
225,2025-04-13,5231,1060,Online,Prospecção,Realizada
226,2025-01-24,5139,2026,Presencial,Pós-venda,Pendente
227,2025-03-14,5166,1020,Telefone,Prospecção,Pendente
228,2025-01-16,5057,1040,Telefone,Negociação,Realizada
229,2025-06-26,5210,1059,Telefone,Pós-venda,Pendente
230,2025-03-17,5476,1022,Presencial,Pós-venda,Realizada
231,2025-03-13,5450,1042,Telefone,Pós-venda,Pendente
232,2025-04-15,5332,2021,Online,Prospecção,Realizada
233,2025-06-19,5389,2011,Online,Negociação,Pendente
234,2025-06-18,5236,2037,Online,Negociação,Realizada
235,2025-05-03,5236,1035,Presencial,Prospecção,Realizada
236,2025-06-16,5127,1054,Online,Prospecção,Realizada
237,2025-05-11,5311,2023,Telefone,Pós-venda,Realizada
238,2025-06-07,5144,1009,Presencial,Prospecção,Realizada
239,2025-03-31,5047,1021,Telefone,Pós-venda,Pendente
240,2025-05-12,5182,1025,Telefone,Negociação,Realizada
241,2025-05-07,5346,2007,Telefone,Pós-venda,Realizada
242,2025-03-10,5015,1035,Presencial,Pós-venda,Pendente
243,2025-06-29,5234,2026,Telefone,Prospecção,Pendente
244,2025-05-22,5369,2018,Telefone,Pós-venda,Pendente
245,2025-06-12,5007,1034,Presencial,Prospecção,Pendente
246,2025-05-24,5095,2040,Online,Pós-venda,Pendente
247,2025-06-23,5053,1008,Presencial,Pós-venda,Pendente
248,2025-05-17,5234,1020,Online,Negociação,Realizada
249,2025-04-30,5104,2009,Online,Negociação,Pendente
250,2025-02-27,5399,1005,Presencial,Prospecção,Pendente
251,2025-04-25,5367,2031,Presencial,Prospecção,Realizada
252,2025-04-29,5148,1030,Presencial,Pós-venda,Realizada
253,2025-02-06,5175,1004,Presencial,Prospecção,Realizada
254,2025-03-30,5474,1047,Presencial,Prospecção,Pendente
255,2025-03-19,5103,1050,Presencial,Prospecção,Realizada
256,2025-02-04,5321,1027,Telefone,Prospecção,Pendente
257,2025-01-20,5025,1058,Telefone,Negociação,Realizada
258,2025-04-02,5108,1012,Telefone,Negociação,Realizada
259,2025-01-29,5132,1010,Presencial,Pós-venda,Realizada
260,2025-05-26,5073,2040,Online,Negociação,Pendente
261,2025-05-11,5361,1011,Online,Pós-venda,Realizada
262,2025-01-04,5042,2023,Online,Prospecção,Pendente
263,2025-05-16,5448,2024,Presencial,Negociação,Pendente
264,2025-03-31,5256,1017,Online,Pós-venda,Realizada
265,2025-06-04,5473,1059,Telefone,Negociação,Realizada
266,2025-01-01,5167,2039,Online,Negociação,Pendente
267,2025-04-08,5241,2018,Presencial,Prospecção,Realizada
268,2025-01-27,5438,2010,Online,Pós-venda,Pendente
269,2025-06-07,5252,1011,Online,Negociação,Pendente
270,2025-04-23,5393,1046,Telefone,Pós-venda,Realizada
271,2025-01-05,5406,1041,Presencial,Pós-venda,Pendente
272,2025-03-09,5036,1026,Telefone,Prospecção,Pendente
273,2025-06-05,5308,1006,Presencial,Negociação,Pendente
274,2025-06-03,5093,1039,Telefone,Pós-venda,Realizada
275,2025-03-06,5449,1011,Presencial,Prospecção,Pendente
276,2025-05-21,5027,1005,Online,Negociação,Realizada
277,2025-04-16,5408,2032,Online,Negociação,Realizada
278,2025-04-11,5041,1020,Online,Negociação,Pendente
279,2025-04-02,5214,1033,Telefone,Pós-venda,Realizada
280,2025-04-14,5232,1055,Online,Pós-venda,Realizada
281,2025-04-23,5458,2003,Presencial,Pós-venda,Realizada
282,2025-02-03,5010,2006,Telefone,Prospecção,Realizada
283,2025-04-17,5431,2014,Presencial,Pós-venda,Realizada
284,2025-05-15,5189,1032,Online,Prospecção,Realizada
285,2025-03-19,5483,1017,Telefone,Negociação,Realizada
286,2025-03-15,5136,2022,Presencial,Negociação,Realizada
287,2025-02-24,5019,2040,Telefone,Pós-venda,Realizada
288,2025-03-24,5469,2002,Online,Pós-venda,Pendente
289,2025-02-14,5125,1045,Presencial,Pós-venda,Pendente
290,2025-05-25,5287,1043,Telefone,Negociação,Realizada
291,2025-01-01,5227,1026,Online,Negociação,Pendente
292,2025-02-02,5021,1024,Telefone,Negociação,Pendente
293,2025-02-28,5414,1058,Presencial,Prospecção,Realizada
294,2025-03-21,5370,2003,Presencial,Pós-venda,Realizada
295,2025-03-07,5113,2040,Presencial,Negociação,Realizada
296,2025-05-31,5007,1038,Online,Negociação,Realizada
297,2025-02-13,5051,2033,Telefone,Pós-venda,Realizada
298,2025-03-11,5469,2022,Online,Pós-venda,Realizada
299,2025-05-10,5230,1022,Telefone,Prospecção,Pendente
300,2025-04-05,5047,1054,Online,Negociação,Pendente
301,2025-04-08,5319,1047,Telefone,Prospecção,Realizada
302,2025-04-14,5288,2019,Telefone,Negociação,Pendente
303,2025-01-16,5187,1026,Telefone,Pós-venda,Realizada
304,2025-05-08,5370,2007,Telefone,Negociação,Realizada
305,2025-03-22,5460,1026,Online,Prospecção,Pendente
306,2025-01-08,5496,2006,Telefone,Negociação,Realizada
307,2025-01-03,5376,1044,Presencial,Negociação,Realizada
308,2025-01-27,5373,1027,Online,Negociação,Realizada
309,2025-01-28,5384,1048,Presencial,Pós-venda,Realizada
310,2025-03-10,5307,2033,Online,Negociação,Pendente
311,2025-06-23,5462,2005,Telefone,Negociação,Pendente
312,2025-03-05,5158,2003,Presencial,Negociação,Pendente
313,2025-01-23,5254,2012,Telefone,Prospecção,Pendente
314,2025-01-12,5068,2037,Presencial,Pós-venda,Realizada
315,2025-02-13,5356,1019,Telefone,Prospecção,Pendente
316,2025-03-18,5485,2029,Presencial,Pós-venda,Pendente
317,2025-04-30,5125,2040,Online,Negociação,Pendente
318,2025-03-16,5312,2011,Telefone,Negociação,Realizada
319,2025-02-11,5276,1019,Presencial,Pós-venda,Realizada
320,2025-05-01,5022,1057,Online,Negociação,Pendente
321,2025-01-08,5296,2039,Telefone,Pós-venda,Realizada
322,2025-02-13,5417,2021,Online,Prospecção,Realizada
323,2025-01-05,5016,2021,Presencial,Negociação,Realizada
324,2025-03-30,5324,1012,Presencial,Prospecção,Realizada
325,2025-02-01,5251,1046,Presencial,Prospecção,Realizada
326,2025-02-05,5107,1051,Telefone,Negociação,Realizada
327,2025-03-21,5121,2037,Online,Pós-venda,Pendente
328,2025-04-13,5128,1005,Presencial,Prospecção,Realizada
329,2025-04-02,5088,2024,Online,Pós-venda,Pendente
330,2025-02-24,5109,2027,Presencial,Pós-venda,Realizada
331,2025-05-04,5468,1022,Online,Negociação,Realizada
332,2025-01-11,5497,1058,Presencial,Pós-venda,Realizada
333,2025-04-09,5241,1058,Online,Negociação,Realizada
334,2025-02-24,5496,1028,Presencial,Negociação,Realizada
335,2025-02-15,5413,1047,Telefone,Prospecção,Realizada
336,2025-03-18,5148,1054,Telefone,Pós-venda,Pendente
337,2025-01-20,5184,1005,Online,Pós-venda,Realizada
338,2025-02-16,5036,2002,Online,Negociação,Pendente
339,2025-05-20,5470,2002,Presencial,Prospecção,Pendente
340,2025-05-12,5157,1031,Online,Pós-venda,Pendente
341,2025-01-12,5196,1010,Online,Negociação,Pendente
342,2025-04-30,5397,1060,Telefone,Negociação,Realizada
343,2025-06-05,5378,1037,Telefone,Negociação,Pendente
344,2025-05-20,5398,1048,Telefone,Prospecção,Realizada
345,2025-04-22,5273,1031,Online,Prospecção,Realizada
346,2025-01-25,5131,1024,Presencial,Prospecção,Pendente
347,2025-01-10,5273,1037,Presencial,Negociação,Realizada
348,2025-01-05,5151,1034,Presencial,Negociação,Pendente
349,2025-04-18,5275,1024,Presencial,Negociação,Realizada
350,2025-05-13,5490,1022,Presencial,Prospecção,Pendente
351,2025-01-11,5218,1027,Online,Negociação,Realizada
352,2025-03-25,5283,1017,Telefone,Prospecção,Pendente
353,2025-05-23,5437,1040,Online,Prospecção,Pendente
354,2025-06-03,5443,1034,Online,Pós-venda,Realizada
355,2025-01-10,5107,1043,Telefone,Negociação,Pendente
356,2025-06-26,5372,1046,Presencial,Negociação,Pendente
357,2025-03-26,5009,1029,Presencial,Pós-venda,Realizada
358,2025-01-25,5255,1012,Online,Negociação,Pendente
359,2025-04-09,5418,1059,Presencial,Pós-venda,Pendente
360,2025-02-09,5337,1028,Telefone,Pós-venda,Realizada
361,2025-04-24,5189,2026,Presencial,Negociação,Pendente
362,2025-02-19,5286,2011,Presencial,Prospecção,Pendente
363,2025-04-13,5459,1032,Online,Prospecção,Pendente
364,2025-01-13,5331,1036,Presencial,Prospecção,Realizada
365,2025-01-25,5079,1004,Online,Pós-venda,Realizada
366,2025-02-06,5247,1038,Online,Prospecção,Realizada
367,2025-03-17,5437,1035,Presencial,Prospecção,Pendente
368,2025-05-27,5325,1016,Online,Pós-venda,Pendente
369,2025-04-27,5329,2002,Telefone,Pós-venda,Pendente
370,2025-01-13,5475,1011,Presencial,Pós-venda,Realizada
371,2025-02-12,5148,1005,Presencial,Negociação,Realizada
372,2025-06-20,5015,2018,Online,Prospecção,Pendente
373,2025-06-05,5309,1033,Online,Pós-venda,Pendente
374,2025-01-12,5348,1008,Telefone,Negociação,Pendente
375,2025-04-10,5260,1039,Online,Pós-venda,Pendente
376,2025-04-25,5162,2039,Telefone,Pós-venda,Realizada
377,2025-03-18,5245,2022,Telefone,Negociação,Pendente
378,2025-03-09,5386,1004,Presencial,Negociação,Realizada
379,2025-04-24,5489,2017,Telefone,Negociação,Pendente
380,2025-01-01,5426,1056,Online,Prospecção,Pendente
381,2025-06-05,5164,1051,Online,Negociação,Realizada
382,2025-02-14,5466,1049,Online,Pós-venda,Pendente
383,2025-06-23,5186,1034,Presencial,Negociação,Realizada
384,2025-01-18,5418,2007,Telefone,Pós-venda,Realizada
385,2025-06-15,5048,1011,Online,Prospecção,Realizada
386,2025-04-11,5408,1031,Telefone,Pós-venda,Pendente
387,2025-01-11,5084,1034,Online,Pós-venda,Pendente
388,2025-01-11,5453,2031,Presencial,Prospecção,Realizada
389,2025-04-24,5419,1049,Telefone,Prospecção,Pendente
390,2025-06-22,5114,1014,Online,Negociação,Pendente
391,2025-02-05,5500,2009,Online,Prospecção,Realizada
392,2025-02-04,5480,1029,Telefone,Negociação,Pendente
393,2025-05-03,5429,1022,Presencial,Pós-venda,Realizada
394,2025-05-14,5203,1041,Telefone,Negociação,Realizada
395,2025-05-02,5011,2018,Telefone,Pós-venda,Realizada
396,2025-06-12,5107,1029,Online,Prospecção,Realizada
397,2025-06-02,5350,2010,Online,Negociação,Pendente
398,2025-06-20,5499,1044,Online,Negociação,Pendente
399,2025-06-19,5249,1045,Telefone,Prospecção,Realizada
400,2025-05-19,5422,2029,Online,Pós-venda,Realizada
401,2025-04-15,5383,2021,Online,Negociação,Realizada
402,2025-05-14,5422,1003,Presencial,Prospecção,Realizada
403,2025-05-28,5090,2008,Online,Pós-venda,Pendente
404,2025-04-13,5293,1040,Presencial,Prospecção,Pendente
405,2025-01-06,5344,1023,Online,Negociação,Realizada
406,2025-03-18,5120,2039,Telefone,Negociação,Realizada
407,2025-05-06,5327,1007,Online,Negociação,Pendente
408,2025-06-13,5337,1042,Presencial,Prospecção,Realizada
409,2025-02-19,5245,1058,Presencial,Prospecção,Pendente
410,2025-01-29,5232,1036,Presencial,Negociação,Pendente
411,2025-01-27,5465,1049,Online,Pós-venda,Realizada
412,2025-05-29,5301,1013,Online,Pós-venda,Pendente
413,2025-02-11,5402,2028,Online,Negociação,Realizada
414,2025-04-04,5236,1033,Telefone,Pós-venda,Realizada
415,2025-03-24,5296,2023,Presencial,Pós-venda,Pendente
416,2025-02-26,5470,2035,Online,Prospecção,Realizada
417,2025-03-08,5176,2020,Telefone,Pós-venda,Realizada
418,2025-04-13,5082,1031,Presencial,Pós-venda,Realizada
419,2025-06-13,5086,1054,Presencial,Pós-venda,Pendente
420,2025-01-29,5468,2018,Telefone,Negociação,Realizada
421,2025-03-12,5363,2037,Presencial,Negociação,Pendente
422,2025-04-07,5074,2034,Online,Negociação,Realizada
423,2025-02-14,5414,2007,Presencial,Prospecção,Realizada
424,2025-04-02,5122,2025,Telefone,Prospecção,Pendente
425,2025-04-21,5087,1024,Online,Pós-venda,Pendente
426,2025-06-19,5160,1010,Online,Pós-venda,Realizada
427,2025-05-16,5378,1001,Online,Negociação,Realizada
428,2025-04-18,5341,1022,Online,Negociação,Realizada
429,2025-06-06,5453,1048,Online,Pós-venda,Pendente
430,2025-04-04,5439,1033,Telefone,Pós-venda,Realizada
431,2025-02-09,5021,1018,Online,Pós-venda,Realizada
432,2025-05-22,5117,1021,Presencial,Prospecção,Realizada
433,2025-02-15,5263,1010,Telefone,Pós-venda,Pendente
434,2025-05-03,5426,2034,Telefone,Negociação,Realizada
435,2025-03-29,5370,1020,Presencial,Prospecção,Realizada
436,2025-04-21,5125,2015,Telefone,Negociação,Realizada
437,2025-04-18,5164,1001,Presencial,Prospecção,Pendente
438,2025-05-17,5216,1050,Presencial,Prospecção,Realizada
439,2025-05-30,5025,2008,Online,Pós-venda,Realizada
440,2025-03-02,5053,1037,Telefone,Pós-venda,Realizada
441,2025-02-19,5334,1004,Online,Pós-venda,Realizada
442,2025-01-14,5272,1032,Online,Pós-venda,Pendente
443,2025-05-23,5312,1010,Telefone,Pós-venda,Realizada
444,2025-06-25,5084,1001,Telefone,Prospecção,Pendente
445,2025-05-15,5289,1060,Telefone,Prospecção,Realizada
446,2025-05-26,5329,2040,Presencial,Prospecção,Pendente
447,2025-01-23,5370,1033,Online,Prospecção,Pendente
448,2025-04-08,5273,1033,Telefone,Pós-venda,Realizada
449,2025-02-24,5020,2037,Online,Negociação,Pendente
450,2025-05-25,5408,1018,Telefone,Prospecção,Realizada
451,2025-06-13,5481,1037,Presencial,Pós-venda,Realizada
452,2025-03-18,5446,2019,Online,Pós-venda,Pendente
453,2025-03-18,5113,1054,Telefone,Negociação,Realizada
454,2025-04-12,5315,1045,Online,Prospecção,Pendente
455,2025-06-12,5490,1057,Telefone,Prospecção,Pendente
456,2025-03-15,5018,2003,Telefone,Negociação,Pendente
457,2025-05-22,5046,1014,Presencial,Negociação,Pendente
458,2025-01-30,5407,1017,Telefone,Prospecção,Pendente
459,2025-02-14,5206,2037,Presencial,Pós-venda,Pendente
