id_oportunidade,cliente_id,vendedor_id,data_abertura,valor_estimado,linha,status
198,5141,1012,2025-03-23,10047,Tryon,Fechado ganho
199,5234,1040,2025-05-07,8402,Tryon,Perdido
200,5462,1018,2025-04-07,21041,Strong,Fechado ganho
201,5241,2032,2025-02-22,12750,Tryon,Negociação
202,5205,1028,2025-05-04,18377,Epikut,Proposta
203,5282,2027,2025-05-02,27827,Strong,Perdido
204,5433,2021,2025-02-04,21077,Tryon,Perdido
205,5453,2026,2025-06-12,24473,Strong,Negociação
206,5226,1050,2025-03-07,23221,Tryon,Proposta
207,5193,1020,2025-03-19,26023,Tryon,Perdido
208,5007,1008,2025-04-30,8693,Strong,Negociação
209,5026,2026,2025-04-19,3768,Epikut,Proposta
210,5332,2031,2025-01-02,8139,Tryon,Perdido
211,5064,1022,2025-05-09,7141,Strong,Fechado ganho
212,5090,2028,2025-04-23,22884,Epikut,Fechado ganho
213,5060,1025,2025-04-24,19848,Strong,Fechado ganho
214,5096,1034,2025-02-14,25005,Unitite,Perdido
215,5439,2038,2025-02-13,25248,Unitite,Fechado ganho
216,5419,1038,2025-02-18,6546,Unitite,Perdido
217,5059,1016,2025-04-10,13727,Strong,Negociação
218,5087,1025,2025-05-24,23926,Unitite,Perdido
219,5049,1001,2025-06-18,5770,Strong,Perdido
220,5256,2005,2025-06-11,9026,Strong,Proposta
221,5390,1039,2025-02-21,19161,Tryon,Fechado ganho
222,5407,1053,2025-01-12,8246,Strong,Perdido
223,5383,1031,2025-01-05,9979,Epikut,Negociação
224,5478,1040,2025-05-09,22276,Unitite,Perdido
225,5470,1025,2025-02-10,9919,Epikut,Fechado ganho
226,5115,1036,2025-06-21,7963,Unitite,Perdido
227,5358,1001,2025-04-25,3879,Tryon,Proposta
228,5438,1033,2025-04-09,22673,Strong,Fechado ganho
229,5317,1018,2025-01-30,29816,Strong,Proposta
230,5402,1005,2025-04-15,8665,Tryon,Proposta
231,5315,1048,2025-05-09,27616,Epikut,Perdido
232,5091,1012,2025-05-10,22315,Strong,Fechado ganho
233,5213,2037,2025-06-13,20160,Unitite,Proposta
234,5117,1036,2025-06-10,15922,Epikut,Negociação
235,5137,1045,2025-03-06,13111,Unitite,Perdido
236,5422,2012,2025-04-03,24376,Tryon,Perdido
237,5198,2001,2025-03-21,23801,Epikut,Negociação
238,5308,1040,2025-03-18,11460,Epikut,Perdido
239,5270,2024,2025-02-10,22236,Epikut,Negociação
240,5364,2029,2025-06-02,27066,Unitite,Fechado ganho
241,5367,2028,2025-02-26,3715,Unitite,Fechado ganho
242,5428,1051,2025-04-29,2718,Epikut,Fechado ganho
243,5149,2031,2025-06-27,27246,Unitite,Fechado ganho
244,5415,1003,2025-05-11,13900,Strong,Fechado ganho
245,5111,1060,2025-03-04,26546,Unitite,Fechado ganho
246,5183,2021,2025-03-30,23613,Epikut,Perdido
247,5464,1042,2025-03-28,27546,Tryon,Negociação
248,5213,2030,2025-03-21,19816,Epikut,Negociação
249,5002,2001,2025-01-28,15483,Strong,Perdido
250,5410,2009,2025-05-03,29158,Tryon,Perdido
251,5154,2007,2025-05-01,7609,Epikut,Proposta
252,5203,1044,2025-06-14,27323,Strong,Fechado ganho
253,5319,2008,2025-02-05,4166,Unitite,Fechado ganho
254,5395,2003,2025-06-23,5724,Tryon,Fechado ganho
255,5024,2012,2025-02-16,15591,Strong,Proposta
256,5444,1009,2025-05-02,18700,Unitite,Fechado ganho
257,5017,2023,2025-03-27,20658,Epikut,Negociação
258,5482,1033,2025-01-27,23116,Tryon,Perdido
259,5138,1055,2025-06-22,21300,Tryon,Proposta
260,5267,2019,2025-03-06,29153,Strong,Negociação
261,5237,1004,2025-05-21,6474,Strong,Negociação
262,5388,1001,2025-02-11,17391,Epikut,Perdido
263,5167,1045,2025-03-09,21536,Tryon,Negociação
264,5459,1034,2025-05-17,25624,Strong,Fechado ganho
265,5145,1036,2025-06-23,19068,Epikut,Negociação
266,5160,2034,2025-04-14,24278,Strong,Fechado ganho
267,5217,1042,2025-02-14,18517,Epikut,Fechado ganho
268,5150,2017,2025-03-20,13185,Strong,Proposta
269,5445,2007,2025-01-29,26969,Epikut,Fechado ganho
270,5270,2028,2025-06-11,23210,Strong,Proposta
271,5260,1009,2025-06-24,16997,Tryon,Negociação
272,5291,1045,2025-06-18,22239,Unitite,Perdido
273,5304,1046,2025-05-15,26716,Strong,Perdido
274,5330,2033,2025-01-12,20564,Tryon,Proposta
275,5113,1015,2025-06-21,25385,Epikut,Proposta
276,5428,2018,2025-06-11,6522,Epikut,Perdido
277,5069,2034,2025-02-13,3136,Unitite,Proposta
278,5371,2036,2025-05-21,6018,Strong,Fechado ganho
279,5448,2039,2025-05-25,13651,Epikut,Proposta
280,5123,2031,2025-03-17,8953,Unitite,Negociação
281,5372,1007,2025-02-09,3698,Epikut,Fechado ganho
282,5349,1023,2025-01-27,25586,Tryon,Negociação
283,5179,2008,2025-01-16,25503,Unitite,Perdido
284,5108,1021,2025-06-16,11910,Tryon,Negociação
285,5467,1047,2025-03-29,14431,Strong,Negociação
286,5227,1049,2025-02-03,24858,Epikut,Perdido
287,5469,1021,2025-03-16,14820,Strong,Proposta
288,5144,2040,2025-03-14,14827,Epikut,Proposta
289,5200,1010,2025-05-09,3931,Epikut,Perdido
290,5441,2014,2025-03-22,28337,Strong,Perdido
291,5150,1016,2025-05-22,9928,Epikut,Negociação
292,5458,1012,2025-01-18,11502,Tryon,Fechado ganho
293,5231,1046,2025-06-02,2163,Tryon,Negociação
294,5389,1022,2025-05-27,3277,Unitite,Fechado ganho
295,5130,2037,2025-02-07,20038,Epikut,Negociação
296,5370,1010,2025-06-04,20397,Unitite,Negociação
297,5002,2009,2025-05-02,12935,Unitite,Perdido
298,5005,1052,2025-06-17,17799,Epikut,Perdido
299,5216,2034,2025-03-25,15991,Strong,Proposta
300,5257,1033,2025-01-02,8607,Strong,Negociação
301,5234,2018,2025-01-02,20464,Epikut,Perdido
302,5143,1040,2025-03-01,10948,Epikut,Perdido
303,5179,2026,2025-01-06,25943,Strong,Negociação
304,5278,1003,2025-03-27,11357,Unitite,Perdido
305,5149,2008,2025-03-30,19812,Unitite,Negociação
306,5473,2006,2025-02-04,7568,Strong,Fechado ganho
307,5455,1036,2025-04-26,18089,Tryon,Negociação
308,5081,1010,2025-06-02,20639,Tryon,Proposta
309,5338,1019,2025-02-06,28941,Strong,Perdido
310,5176,1024,2025-01-16,11572,Unitite,Proposta
311,5312,1049,2025-02-26,15970,Unitite,Fechado ganho
312,5204,1034,2025-02-02,20786,Tryon,Perdido
313,5347,1055,2025-04-14,12542,Strong,Fechado ganho
314,5065,1046,2025-04-26,26902,Tryon,Fechado ganho
315,5170,1024,2025-06-01,21006,Tryon,Proposta
316,5225,1055,2025-02-03,23918,Unitite,Negociação
317,5169,2006,2025-05-23,20185,Unitite,Perdido
318,5319,1044,2025-05-14,19287,Strong,Proposta
319,5183,1007,2025-02-25,23042,Strong,Perdido
320,5471,1053,2025-04-21,28453,Tryon,Negociação
321,5410,1021,2025-03-18,28313,Unitite,Proposta
322,5236,1044,2025-01-21,17134,Unitite,Negociação
323,5393,2008,2025-04-04,13304,Unitite,Proposta
324,5028,2007,2025-05-31,25848,Tryon,Fechado ganho
325,5267,1037,2025-03-28,3801,Tryon,Perdido
326,5270,1025,2025-05-21,24798,Unitite,Proposta
327,5065,1022,2025-01-03,15552,Epikut,Perdido
328,5395,1016,2025-04-20,10017,Epikut,Proposta
329,5312,2018,2025-06-14,14273,Tryon,Proposta
330,5233,1022,2025-03-29,26156,Unitite,Proposta
331,5368,2012,2025-05-07,2527,Tryon,Negociação
332,5321,2021,2025-06-01,2005,Strong,Fechado ganho
333,5340,2009,2025-03-26,16848,Strong,Fechado ganho
334,5387,1031,2025-03-30,29749,Strong,Perdido
335,5072,1045,2025-03-15,12055,Strong,Negociação
336,5102,1046,2025-04-18,23033,Tryon,Proposta
337,5330,2025,2025-05-27,14327,Tryon,Perdido
338,5281,1001,2025-06-05,9786,Strong,Proposta
339,5418,2033,2025-03-27,5898,Epikut,Proposta
340,5071,1059,2025-05-03,11063,Epikut,Perdido
341,5500,2008,2025-04-15,15368,Epikut,Perdido
342,5012,1049,2025-06-21,16125,Unitite,Proposta
343,5011,1051,2025-02-21,23081,Strong,Proposta
344,5354,1043,2025-02-03,11062,Strong,Perdido
345,5402,1008,2025-02-21,19274,Tryon,Negociação
346,5382,1053,2025-05-02,16513,Strong,Perdido
347,5370,1039,2025-01-12,13400,Unitite,Proposta
348,5481,2008,2025-01-11,14859,Epikut,Fechado ganho
349,5034,2010,2025-02-02,25323,Tryon,Perdido
350,5021,1057,2025-05-19,23963,Tryon,Fechado ganho
351,5362,1022,2025-03-06,15195,Unitite,Fechado ganho
352,5308,1028,2025-06-17,11133,Tryon,Proposta
353,5500,1024,2025-01-19,9696,Unitite,Negociação
354,5064,2025,2025-06-27,24300,Unitite,Proposta
355,5197,2019,2025-05-11,4175,Tryon,Perdido
356,5405,1031,2025-05-11,11369,Epikut,Fechado ganho
357,5235,1031,2025-05-07,2434,Epikut,Fechado ganho
358,5042,2015,2025-04-16,26742,Epikut,Perdido
359,5347,2006,2025-04-30,11386,Strong,Negociação
360,5152,1050,2025-01-08,19278,Strong,Fechado ganho
361,5454,1020,2025-04-26,26345,Tryon,Proposta
362,5179,2007,2025-01-11,2079,Tryon,Proposta
363,5151,1057,2025-05-26,15772,Strong,Fechado ganho
364,5082,1040,2025-03-27,3843,Tryon,Fechado ganho
365,5281,2040,2025-06-27,3318,Tryon,Fechado ganho
366,5207,2029,2025-04-07,29546,Epikut,Fechado ganho
367,5286,1029,2025-06-05,7406,Epikut,Proposta
368,5216,1019,2025-04-03,13548,Epikut,Negociação
369,5485,2018,2025-06-24,8626,Strong,Fechado ganho
370,5442,2016,2025-05-12,13903,Tryon,Fechado ganho
371,5157,1017,2025-05-21,13857,Strong,Perdido
372,5350,2035,2025-03-28,3407,Epikut,Proposta
373,5430,1020,2025-02-10,3655,Tryon,Proposta
374,5348,1048,2025-04-05,13070,Strong,Negociação
375,5444,1044,2025-03-24,10730,Tryon,Proposta
376,5043,1059,2025-02-16,20246,Epikut,Perdido
377,5106,2007,2025-05-09,24422,Unitite,Negociação
378,5254,2012,2025-03-07,24294,Tryon,Negociação
379,5463,1038,2025-03-17,2570,Unitite,Negociação
380,5166,1045,2025-05-02,9156,Unitite,Perdido
381,5361,1026,2025-02-19,15612,Epikut,Negociação
382,5016,2032,2025-05-25,25500,Epikut,Perdido
383,5326,2019,2025-02-18,22764,Tryon,Proposta
384,5109,1023,2025-01-17,2348,Unitite,Fechado ganho
385,5063,1038,2025-01-15,22430,Strong,Fechado ganho
386,5377,2009,2025-01-03,7103,Strong,Fechado ganho
387,5282,2021,2025-06-06,6063,Unitite,Proposta
388,5038,2027,2025-01-17,29659,Epikut,Negociação
389,5111,2017,2025-05-14,16678,Tryon,Fechado ganho
390,5181,1035,2025-05-25,21776,Epikut,Fechado ganho
391,5361,1031,2025-04-10,3529,Epikut,Negociação
392,5433,2038,2025-05-08,26961,Unitite,Proposta
393,5430,2009,2025-02-16,10425,Epikut,Proposta
394,5007,1003,2025-02-03,14122,Unitite,Negociação
395,5381,1037,2025-04-03,25683,Unitite,Perdido
396,5164,2010,2025-02-15,18978,Strong,Negociação
397,5362,1027,2025-03-03,11134,Unitite,Fechado ganho
398,5398,1038,2025-02-16,5444,Strong,Perdido
399,5276,1043,2025-04-16,9642,Epikut,Proposta
400,5234,1014,2025-05-21,23975,Epikut,Perdido
401,5328,1050,2025-01-05,23712,Unitite,Negociação
402,5132,2013,2025-01-18,24916,Tryon,Negociação
403,5105,2034,2025-06-01,3047,Unitite,Proposta
404,5314,2039,2025-03-31,13146,Unitite,Perdido
405,5304,2011,2025-06-05,3481,Epikut,Negociação
406,5074,2039,2025-06-29,2252,Unitite,Proposta
407,5346,1017,2025-05-02,21645,Tryon,Proposta
408,5126,2021,2025-01-27,20425,Strong,Negociação
409,5232,1039,2025-01-14,28711,Tryon,Proposta
410,5118,2013,2025-01-17,14536,Strong,Negociação
411,5222,2032,2025-04-17,6131,Strong,Perdido
412,5438,1041,2025-06-24,27256,Epikut,Proposta
413,5191,1053,2025-02-22,2666,Epikut,Fechado ganho
414,5398,2015,2025-02-14,15903,Strong,Perdido
415,5157,1050,2025-05-09,14300,Tryon,Perdido
416,5137,2039,2025-02-19,6700,Unitite,Proposta
417,5098,1014,2025-02-06,19976,Tryon,Proposta
418,5440,2027,2025-01-17,13395,Unitite,Perdido
419,5204,2010,2025-03-16,4733,Unitite,Proposta
420,5448,1008,2025-02-06,2662,Strong,Negociação
421,5362,2005,2025-06-20,23135,Unitite,Proposta
422,5397,1027,2025-06-11,26207,Strong,Negociação
423,5383,2028,2025-04-11,27499,Unitite,Perdido
424,5305,2018,2025-04-04,7479,Tryon,Fechado ganho
425,5244,1039,2025-06-21,26149,Tryon,Proposta
426,5100,1003,2025-05-04,23159,Strong,Negociação
427,5328,1019,2025-04-27,18100,Strong,Fechado ganho
428,5264,1051,2025-04-18,25045,Strong,Perdido
429,5477,1022,2025-04-15,7107,Epikut,Perdido
430,5172,1043,2025-04-16,3655,Unitite,Perdido
431,5003,1008,2025-05-24,22052,Unitite,Fechado ganho
432,5420,2006,2025-05-16,15387,Unitite,Negociação
433,5431,1045,2025-04-14,27320,Strong,Negociação
434,5344,2013,2025-02-15,7586,Strong,Negociação
435,5199,2014,2025-05-21,12351,Strong,Negociação
436,5431,2008,2025-04-29,25789,Unitite,Perdido
437,5081,1042,2025-05-14,11075,Tryon,Fechado ganho
438,5330,2016,2025-06-01,11898,Tryon,Negociação
439,5256,2006,2025-05-04,29722,Epikut,Negociação
440,5449,1031,2025-05-05,8232,Tryon,Proposta
441,5376,1043,2025-06-18,22736,Tryon,Fechado ganho
442,5129,1051,2025-06-27,29368,Tryon,Negociação
443,5325,1017,2025-03-30,27574,Unitite,Proposta
444,5236,1019,2025-03-17,5107,Unitite,Negociação
445,5072,2011,2025-02-13,14750,Tryon,Fechado ganho
446,5492,1020,2025-02-22,25049,Tryon,Fechado ganho
447,5368,1059,2025-05-24,12122,Tryon,Proposta
448,5462,1024,2025-03-22,8452,Unitite,Perdido
449,5378,1053,2025-02-09,29659,Epikut,Perdido
450,5262,1043,2025-04-09,22657,Tryon,Proposta
451,5339,1003,2025-06-11,21248,Epikut,Proposta
452,5185,1020,2025-01-07,13870,Tryon,Negociação
453,5472,1005,2025-04-05,2747,Tryon,Fechado ganho
454,5149,1029,2025-04-28,26466,Epikut,Negociação
455,5033,1049,2025-03-21,11368,Epikut,Fechado ganho
456,5003,2040,2025-06-07,15374,Unitite,Perdido
457,5181,1026,2025-04-26,10700,Epikut,Proposta
458,5040,2018,2025-02-11,24664,Epikut,Negociação
459,5430,1037,2025-02-01,19116,Unitite,Negociação
460,5191,2001,2025-03-10,19212,Unitite,Perdido
461,5288,1013,2025-02-17,27693,Epikut,Proposta
462,5405,2005,2025-02-24,21709,Epikut,Perdido
463,5315,1051,2025-04-10,25353,Strong,Fechado ganho
464,5145,1052,2025-04-11,23558,Tryon,Proposta
465,5212,1045,2025-05-20,5221,Tryon,Perdido
466,5144,2013,2025-03-13,10311,Tryon,Negociação
467,5078,1027,2025-04-14,21812,Unitite,Fechado ganho
468,5163,1040,2025-05-04,14679,Epikut,Perdido
469,5197,1048,2025-04-24,20675,Epikut,Negociação
470,5355,1016,2025-06-19,6091,Strong,Fechado ganho
471,5313,1022,2025-01-06,23750,Unitite,Negociação
472,5121,2027,2025-03-16,29378,Epikut,Fechado ganho
473,5255,2025,2025-04-01,24681,Unitite,Fechado ganho
474,5176,1048,2025-02-22,9274,Strong,Perdido
475,5407,1014,2025-01-13,18553,Epikut,Proposta
476,5067,2022,2025-02-15,26959,Unitite,Proposta
477,5010,1045,2025-05-09,10480,Unitite,Fechado ganho
478,5458,2019,2025-06-29,17326,Strong,Proposta
479,5393,1028,2025-01-24,28824,Tryon,Fechado ganho
480,5388,1001,2025-03-01,26433,Epikut,Perdido
481,5361,1012,2025-05-30,19865,Epikut,Fechado ganho
482,5421,2025,2025-02-10,9345,Epikut,Proposta
483,5105,1056,2025-05-27,29911,Strong,Fechado ganho
484,5159,1013,2025-01-23,26988,Unitite,Proposta
485,5416,1010,2025-06-18,12805,Unitite,Proposta
486,5157,1058,2025-04-03,24091,Unitite,Perdido
487,5291,2002,2025-02-08,3795,Epikut,Negociação
488,5365,1035,2025-05-28,5304,Tryon,Proposta
