id_venda,data,cliente_id,vendedor_id,produto_id,quantidade,valor_bruto,desconto,valor_liquido
141,2025-04-11,5154,1014,4,12,2520,252.0,2268.0
142,2025-02-11,5176,1027,3,13,4160,0.0,4160.0
143,2025-05-07,5041,2031,3,9,2880,0.0,2880.0
144,2025-02-18,5103,1004,4,17,3570,357.0,3213.0
145,2025-05-05,5379,1060,1,4,2080,208.0,1872.0
146,2025-04-16,5267,1032,3,8,2560,0.0,2560.0
147,2025-03-20,5022,1011,2,18,7560,0.0,7560.0
148,2025-02-22,5394,1053,3,21,6720,672.0,6048.0
149,2025-05-28,5108,1053,1,22,11440,1144.0,10296.0
150,2025-06-15,5058,2028,1,25,13000,650.0,12350.0
151,2025-03-02,5148,1018,2,17,7140,357.0,6783.0
152,2025-04-13,5162,2019,2,14,5880,0.0,5880.0
153,2025-02-16,5297,1032,3,23,7360,0.0,7360.0
154,2025-04-19,5228,2005,2,1,420,0.0,420.0
155,2025-01-27,5492,1025,4,10,2100,0.0,2100.0
156,2025-04-17,5266,1054,3,13,4160,0.0,4160.0
157,2025-03-06,5433,2005,1,23,11960,1196.0,10764.0
158,2025-02-06,5331,1058,3,10,3200,0.0,3200.0
159,2025-06-08,5180,2006,1,3,1560,78.0,1482.0
160,2025-02-20,5245,2031,4,15,3150,157.5,2992.5
161,2025-06-18,5268,1001,1,25,13000,0.0,13000.0
162,2025-02-25,5379,1003,4,7,1470,0.0,1470.0
163,2025-06-16,5340,1046,1,15,7800,0.0,7800.0
164,2025-02-12,5117,1010,4,16,3360,0.0,3360.0
165,2025-04-01,5004,1059,1,12,6240,624.0,5616.0
166,2025-04-26,5090,1060,2,24,10080,504.0,9576.0
167,2025-04-06,5348,1034,4,6,1260,0.0,1260.0
168,2025-06-04,5267,1048,3,24,7680,0.0,7680.0
169,2025-06-03,5271,1030,1,11,5720,0.0,5720.0
170,2025-06-03,5161,1057,3,11,3520,176.0,3344.0
171,2025-02-14,5254,1028,1,19,9880,494.0,9386.0
172,2025-04-15,5064,2021,2,1,420,42.0,378.0
173,2025-05-19,5154,1019,4,14,2940,0.0,2940.0
174,2025-03-06,5219,2002,3,16,5120,256.0,4864.0
175,2025-06-13,5186,1025,3,10,3200,320.0,2880.0
176,2025-04-21,5085,2032,2,17,7140,0.0,7140.0
177,2025-02-02,5019,2008,2,13,5460,0.0,5460.0
178,2025-04-22,5357,2033,3,25,8000,800.0,7200.0
179,2025-02-22,5111,1044,2,11,4620,462.0,4158.0
180,2025-04-19,5176,2023,3,16,5120,0.0,5120.0
181,2025-02-07,5024,1001,3,20,6400,320.0,6080.0
182,2025-05-12,5413,1002,2,13,5460,546.0,4914.0
183,2025-03-13,5405,1030,4,3,630,0.0,630.0
184,2025-02-15,5500,2010,3,11,3520,0.0,3520.0
185,2025-02-13,5448,2013,4,14,2940,0.0,2940.0
186,2025-03-24,5452,1034,4,1,210,0.0,210.0
187,2025-01-15,5094,1017,2,2,840,84.0,756.0
188,2025-02-24,5148,2039,3,6,1920,0.0,1920.0
189,2025-01-24,5116,2028,1,19,9880,988.0,8892.0
190,2025-02-11,5400,2004,3,16,5120,512.0,4608.0
191,2025-04-21,5319,1001,3,23,7360,0.0,7360.0
192,2025-03-04,5132,1050,3,25,8000,0.0,8000.0
193,2025-04-29,5380,1048,1,9,4680,234.0,4446.0
194,2025-01-26,5377,2001,4,1,210,0.0,210.0
195,2025-04-19,5184,2017,1,11,5720,0.0,5720.0
196,2025-05-01,5329,1019,4,2,420,0.0,420.0
197,2025-04-19,5239,2039,2,14,5880,588.0,5292.0
198,2025-03-03,5160,1058,4,21,4410,0.0,4410.0
199,2025-04-28,5413,2001,1,6,3120,312.0,2808.0
200,2025-06-11,5167,2026,4,9,1890,0.0,1890.0
201,2025-06-21,5393,1023,4,3,630,0.0,630.0
202,2025-01-24,5275,2024,3,20,6400,0.0,6400.0
203,2025-01-10,5041,2029,2,13,5460,0.0,5460.0
204,2025-03-02,5284,2001,4,12,2520,0.0,2520.0
205,2025-06-13,5092,2015,3,2,640,64.0,576.0
206,2025-04-05,5275,2029,3,4,1280,128.0,1152.0
207,2025-04-07,5443,1053,1,17,8840,0.0,8840.0
208,2025-01-24,5423,2040,4,14,2940,0.0,2940.0
209,2025-05-20,5394,1007,4,16,3360,0.0,3360.0
210,2025-02-10,5052,1060,3,18,5760,288.0,5472.0
211,2025-04-17,5349,1059,3,16,5120,512.0,4608.0
212,2025-06-11,5315,2030,1,15,7800,390.0,7410.0
213,2025-01-23,5381,1039,1,14,7280,0.0,7280.0
214,2025-01-28,5272,1039,2,3,1260,0.0,1260.0
215,2025-01-13,5122,2008,3,14,4480,224.0,4256.0
216,2025-04-26,5409,1010,3,8,2560,0.0,2560.0
217,2025-01-01,5314,2014,3,11,3520,0.0,3520.0
218,2025-06-02,5247,2026,3,9,2880,0.0,2880.0
219,2025-06-29,5189,2008,2,24,10080,1008.0,9072.0
220,2025-04-27,5207,1012,4,24,5040,0.0,5040.0
221,2025-02-13,5361,2021,2,8,3360,168.0,3192.0
222,2025-06-13,5477,2026,4,1,210,21.0,189.0
223,2025-02-28,5075,1029,1,9,4680,0.0,4680.0
224,2025-06-29,5165,2008,2,9,3780,0.0,3780.0
225,2025-05-26,5465,2013,1,13,6760,676.0,6084.0
226,2025-01-31,5432,1030,2,7,2940,0.0,2940.0
227,2025-05-27,5102,1037,4,11,2310,0.0,2310.0
228,2025-06-21,5341,2013,1,23,11960,598.0,11362.0
229,2025-02-26,5365,1031,2,16,6720,672.0,6048.0
230,2025-04-26,5232,2007,2,17,7140,0.0,7140.0
231,2025-06-11,5414,2004,1,14,7280,728.0,6552.0
232,2025-05-22,5442,1026,3,1,320,0.0,320.0
233,2025-06-20,5233,2040,3,16,5120,0.0,5120.0
234,2025-04-04,5353,1039,4,18,3780,0.0,3780.0
235,2025-04-18,5398,1052,2,10,4200,0.0,4200.0
236,2025-06-21,5388,1034,3,11,3520,352.0,3168.0
237,2025-02-28,5488,1014,1,24,12480,0.0,12480.0
238,2025-05-08,5127,2032,4,17,3570,178.5,3391.5
239,2025-01-16,5104,1016,1,12,6240,0.0,6240.0
240,2025-06-17,5093,2024,4,11,2310,0.0,2310.0
241,2025-03-09,5248,1010,1,1,520,52.0,468.0
242,2025-01-17,5426,1048,3,13,4160,0.0,4160.0
243,2025-05-17,5038,2019,4,5,1050,0.0,1050.0
244,2025-06-12,5035,1053,2,8,3360,0.0,3360.0
245,2025-03-23,5199,1053,4,18,3780,0.0,3780.0
246,2025-03-28,5277,1047,2,20,8400,0.0,8400.0
247,2025-03-11,5196,1024,1,23,11960,598.0,11362.0
248,2025-04-12,5417,1040,4,6,1260,126.0,1134.0
249,2025-02-06,5327,1022,4,13,2730,0.0,2730.0
250,2025-04-03,5023,1027,1,11,5720,286.0,5434.0
251,2025-02-12,5191,2011,2,7,2940,0.0,2940.0
252,2025-02-27,5434,1004,3,3,960,48.0,912.0
253,2025-02-15,5234,1024,4,10,2100,105.0,1995.0
254,2025-05-18,5449,1041,1,5,2600,260.0,2340.0
255,2025-05-14,5059,1017,1,13,6760,0.0,6760.0
256,2025-05-06,5199,1038,3,21,6720,0.0,6720.0
257,2025-03-06,5288,1053,4,8,1680,0.0,1680.0
258,2025-05-08,5263,1054,4,12,2520,126.0,2394.0
259,2025-02-03,5313,1016,1,17,8840,0.0,8840.0
260,2025-02-28,5479,1057,2,11,4620,462.0,4158.0
261,2025-02-08,5415,1021,4,9,1890,189.0,1701.0
262,2025-05-17,5216,1035,1,7,3640,0.0,3640.0
263,2025-03-14,5302,2001,1,10,5200,0.0,5200.0
264,2025-01-05,5110,1028,3,11,3520,0.0,3520.0
265,2025-03-09,5439,1010,3,12,3840,384.0,3456.0
266,2025-06-01,5097,1047,2,8,3360,0.0,3360.0
267,2025-04-01,5412,2035,4,9,1890,94.5,1795.5
268,2025-04-17,5370,1050,2,18,7560,0.0,7560.0
269,2025-05-27,5026,1042,4,18,3780,0.0,3780.0
270,2025-03-27,5127,2003,3,5,1600,0.0,1600.0
271,2025-05-12,5039,1036,1,7,3640,364.0,3276.0
272,2025-04-18,5158,2039,2,22,9240,0.0,9240.0
273,2025-01-15,5129,1029,3,16,5120,0.0,5120.0
274,2025-02-17,5186,1014,4,25,5250,0.0,5250.0
275,2025-06-13,5088,1023,4,18,3780,0.0,3780.0
276,2025-03-14,5289,2001,1,23,11960,0.0,11960.0
277,2025-02-20,5480,2016,1,22,11440,0.0,11440.0
278,2025-03-23,5191,2009,4,24,5040,504.0,4536.0
279,2025-02-28,5327,1012,4,24,5040,0.0,5040.0
280,2025-04-10,5180,2038,4,9,1890,94.5,1795.5
281,2025-03-07,5341,2012,2,8,3360,0.0,3360.0
282,2025-05-22,5053,2038,3,14,4480,0.0,4480.0
283,2025-06-18,5282,1030,2,22,9240,0.0,9240.0
284,2025-01-01,5009,2021,4,16,3360,0.0,3360.0
285,2025-03-03,5032,2030,3,7,2240,112.0,2128.0
286,2025-04-14,5497,2025,2,9,3780,0.0,3780.0
287,2025-03-15,5349,1017,2,2,840,0.0,840.0
288,2025-05-14,5456,2017,1,19,9880,0.0,9880.0
289,2025-06-28,5219,1003,4,14,2940,0.0,2940.0
290,2025-03-22,5005,1012,2,17,7140,357.0,6783.0
291,2025-06-04,5373,1032,2,19,7980,798.0,7182.0
292,2025-02-25,5296,2040,3,2,640,64.0,576.0
293,2025-06-15,5380,2032,4,3,630,31.5,598.5
294,2025-02-03,5246,2035,2,25,10500,0.0,10500.0
295,2025-05-30,5346,1008,4,8,1680,0.0,1680.0
296,2025-02-13,5139,1040,3,5,1600,0.0,1600.0
297,2025-05-04,5001,1004,1,1,520,0.0,520.0
298,2025-06-20,5323,1016,4,8,1680,0.0,1680.0
299,2025-01-22,5449,1026,1,10,5200,0.0,5200.0
300,2025-04-13,5364,1007,3,20,6400,0.0,6400.0
301,2025-02-03,5015,1016,3,5,1600,160.0,1440.0
302,2025-02-26,5237,2026,2,5,2100,105.0,1995.0
303,2025-05-04,5162,1059,4,24,5040,252.0,4788.0
304,2025-06-16,5007,1020,3,12,3840,384.0,3456.0
305,2025-04-18,5074,1038,3,25,8000,0.0,8000.0
306,2025-01-23,5183,1043,1,12,6240,0.0,6240.0
307,2025-04-22,5434,1012,1,5,2600,0.0,2600.0
308,2025-06-18,5215,1027,1,5,2600,260.0,2340.0
309,2025-02-20,5103,2003,4,24,5040,0.0,5040.0
310,2025-06-27,5332,2011,2,6,2520,252.0,2268.0
311,2025-05-14,5399,1011,4,24,5040,504.0,4536.0
312,2025-04-28,5228,1051,2,9,3780,0.0,3780.0
313,2025-03-25,5416,2024,4,6,1260,63.0,1197.0
314,2025-04-22,5394,2020,3,24,7680,0.0,7680.0
315,2025-05-16,5345,2030,1,11,5720,0.0,5720.0
316,2025-04-07,5120,1016,3,15,4800,240.0,4560.0
317,2025-06-25,5361,1059,1,1,520,52.0,468.0
318,2025-04-17,5460,2030,3,5,1600,0.0,1600.0
319,2025-04-24,5237,1002,2,24,10080,0.0,10080.0
320,2025-06-03,5325,1020,3,18,5760,0.0,5760.0
321,2025-06-17,5295,1003,1,13,6760,0.0,6760.0
322,2025-01-20,5059,1043,4,25,5250,525.0,4725.0
323,2025-01-03,5428,2025,4,10,2100,0.0,2100.0
324,2025-03-14,5215,1003,2,8,3360,0.0,3360.0
325,2025-03-16,5367,1022,4,1,210,21.0,189.0
326,2025-05-21,5445,1002,4,15,3150,0.0,3150.0
327,2025-03-31,5310,2006,2,1,420,0.0,420.0
328,2025-06-08,5238,1039,3,15,4800,480.0,4320.0
329,2025-05-07,5155,2021,3,1,320,16.0,304.0
330,2025-04-15,5409,1013,1,15,7800,0.0,7800.0
331,2025-03-10,5347,2020,3,15,4800,0.0,4800.0
332,2025-06-15,5019,1056,3,16,5120,0.0,5120.0
333,2025-02-05,5046,1015,4,10,2100,210.0,1890.0
334,2025-02-23,5155,2007,4,2,420,0.0,420.0
335,2025-05-14,5466,2025,2,25,10500,0.0,10500.0
336,2025-05-27,5305,1012,3,23,7360,736.0,6624.0
337,2025-06-11,5240,2002,2,15,6300,630.0,5670.0
338,2025-02-23,5030,2006,1,11,5720,286.0,5434.0
339,2025-03-01,5303,2013,3,12,3840,0.0,3840.0
340,2025-01-26,5202,1013,4,24,5040,504.0,4536.0
341,2025-02-13,5007,1048,1,5,2600,0.0,2600.0
342,2025-02-02,5195,2011,3,16,5120,512.0,4608.0
343,2025-04-04,5149,1016,2,23,9660,0.0,9660.0
344,2025-02-27,5211,2011,1,8,4160,0.0,4160.0
345,2025-03-13,5309,2034,4,20,4200,0.0,4200.0
346,2025-04-24,5163,2010,2,13,5460,273.0,5187.0
347,2025-06-17,5138,1014,3,18,5760,0.0,5760.0
348,2025-01-31,5433,1047,3,11,3520,0.0,3520.0
349,2025-04-07,5056,1028,4,8,1680,168.0,1512.0
350,2025-04-29,5166,1018,1,16,8320,0.0,8320.0
351,2025-05-20,5449,1029,3,16,5120,0.0,5120.0
352,2025-03-12,5151,1032,4,13,2730,0.0,2730.0
353,2025-03-19,5076,1042,3,8,2560,0.0,2560.0
354,2025-06-09,5352,1059,1,12,6240,624.0,5616.0
355,2025-06-04,5057,1038,1,9,4680,234.0,4446.0
356,2025-03-06,5457,1024,4,12,2520,126.0,2394.0
357,2025-01-12,5418,1060,1,6,3120,312.0,2808.0
358,2025-02-28,5133,1047,3,21,6720,672.0,6048.0
359,2025-03-31,5081,1008,1,14,7280,0.0,7280.0
360,2025-04-02,5045,2006,1,4,2080,208.0,1872.0
361,2025-05-23,5077,2020,2,7,2940,0.0,2940.0
362,2025-03-31,5332,2031,3,17,5440,0.0,5440.0
363,2025-01-17,5332,1049,3,17,5440,0.0,5440.0
364,2025-01-14,5497,1011,3,12,3840,192.0,3648.0
365,2025-03-03,5328,1029,4,7,1470,0.0,1470.0
366,2025-03-29,5226,2026,2,18,7560,378.0,7182.0
367,2025-01-21,5233,1012,2,10,4200,0.0,4200.0
368,2025-01-21,5437,1005,4,16,3360,0.0,3360.0
369,2025-06-19,5292,1051,1,15,7800,0.0,7800.0
370,2025-06-24,5037,1019,3,10,3200,320.0,2880.0
371,2025-04-22,5393,1010,1,12,6240,624.0,5616.0
372,2025-03-09,5247,1032,2,7,2940,147.0,2793.0
373,2025-02-02,5302,1047,1,23,11960,0.0,11960.0
374,2025-05-10,5156,2017,3,5,1600,160.0,1440.0
375,2025-06-16,5294,1010,4,21,4410,220.5,4189.5
376,2025-03-30,5348,2039,3,1,320,0.0,320.0
377,2025-03-30,5277,1015,2,19,7980,399.0,7581.0
378,2025-06-21,5417,1027,4,8,1680,84.0,1596.0
379,2025-04-05,5184,2027,2,15,6300,0.0,6300.0
380,2025-04-22,5340,1013,4,6,1260,0.0,1260.0
381,2025-06-21,5308,1018,2,25,10500,1050.0,9450.0
382,2025-03-28,5324,2008,4,4,840,0.0,840.0
383,2025-06-01,5079,2008,2,25,10500,0.0,10500.0
384,2025-04-11,5158,1058,2,19,7980,0.0,7980.0
385,2025-03-14,5133,2009,4,18,3780,0.0,3780.0
386,2025-05-20,5072,1042,1,19,9880,988.0,8892.0
387,2025-04-02,5169,1041,3,7,2240,0.0,2240.0
388,2025-05-01,5181,2007,3,17,5440,0.0,5440.0
389,2025-04-23,5126,2018,4,8,1680,0.0,1680.0
390,2025-05-26,5334,2020,1,15,7800,390.0,7410.0
391,2025-06-05,5049,1001,2,21,8820,441.0,8379.0
392,2025-02-10,5168,1029,1,24,12480,0.0,12480.0
393,2025-04-09,5266,1025,3,21,6720,0.0,6720.0
394,2025-01-10,5006,2005,4,7,1470,0.0,1470.0
395,2025-03-07,5436,2025,4,2,420,42.0,378.0
396,2025-06-25,5498,1009,3,25,8000,800.0,7200.0
397,2025-06-25,5383,1053,3,20,6400,0.0,6400.0
398,2025-01-19,5136,2023,2,13,5460,546.0,4914.0
399,2025-05-16,5380,1020,2,8,3360,0.0,3360.0
400,2025-06-07,5369,1028,1,22,11440,0.0,11440.0
401,2025-05-11,5286,1003,1,22,11440,1144.0,10296.0
402,2025-05-29,5169,2009,4,15,3150,0.0,3150.0
403,2025-04-27,5249,2005,4,9,1890,94.5,1795.5
404,2025-05-04,5056,1010,1,3,1560,0.0,1560.0
405,2025-04-06,5185,1034,3,5,1600,160.0,1440.0
406,2025-02-26,5062,1005,3,22,7040,0.0,7040.0
407,2025-01-24,5477,2009,2,6,2520,0.0,2520.0
408,2025-04-09,5029,2024,2,18,7560,0.0,7560.0
409,2025-04-26,5248,1029,1,22,11440,1144.0,10296.0
410,2025-05-12,5005,2012,1,11,5720,572.0,5148.0
411,2025-05-02,5357,1007,4,8,1680,0.0,1680.0
412,2025-05-27,5360,1049,3,25,8000,0.0,8000.0
413,2025-01-07,5310,1017,1,6,3120,156.0,2964.0
414,2025-05-15,5396,2031,2,11,4620,0.0,4620.0
415,2025-03-15,5030,1029,1,17,8840,884.0,7956.0
416,2025-03-01,5425,1013,1,20,10400,0.0,10400.0
417,2025-04-08,5355,1059,2,5,2100,0.0,2100.0
418,2025-01-28,5262,2020,2,10,4200,420.0,3780.0
419,2025-06-29,5295,1045,4,11,2310,0.0,2310.0
420,2025-05-08,5187,1029,2,7,2940,147.0,2793.0
421,2025-02-26,5367,1003,1,9,4680,0.0,4680.0
422,2025-06-29,5263,2011,4,24,5040,0.0,5040.0
423,2025-03-21,5402,1034,1,21,10920,546.0,10374.0
424,2025-02-07,5418,1050,1,13,6760,338.0,6422.0
425,2025-01-19,5080,1037,1,20,10400,0.0,10400.0
426,2025-06-25,5343,2017,1,19,9880,0.0,9880.0
427,2025-02-26,5442,1015,2,24,10080,0.0,10080.0
428,2025-06-19,5209,2023,3,20,6400,640.0,5760.0
429,2025-05-17,5178,1056,1,22,11440,0.0,11440.0
430,2025-05-05,5126,1023,1,18,9360,0.0,9360.0
431,2025-03-23,5165,2040,3,16,5120,0.0,5120.0
432,2025-02-23,5210,1007,2,24,10080,0.0,10080.0
433,2025-01-23,5174,2035,3,18,5760,288.0,5472.0
434,2025-05-02,5381,2014,1,1,520,52.0,468.0
435,2025-02-22,5054,2022,3,13,4160,0.0,4160.0
436,2025-02-02,5371,2027,3,7,2240,224.0,2016.0
437,2025-06-18,5369,2021,2,13,5460,0.0,5460.0
438,2025-05-20,5046,1033,1,4,2080,104.0,1976.0
439,2025-03-31,5415,1048,4,18,3780,0.0,3780.0
440,2025-03-06,5444,1020,3,3,960,0.0,960.0
441,2025-01-26,5027,1031,2,17,7140,0.0,7140.0
442,2025-06-03,5339,2003,1,16,8320,0.0,8320.0
443,2025-04-29,5300,1035,3,1,320,32.0,288.0
444,2025-01-04,5470,2026,1,13,6760,0.0,6760.0
445,2025-01-24,5269,1006,3,4,1280,0.0,1280.0
446,2025-01-09,5444,1023,2,25,10500,0.0,10500.0
447,2025-06-23,5395,1022,4,3,630,31.5,598.5
448,2025-05-20,5420,1006,1,7,3640,0.0,3640.0
449,2025-01-24,5060,1031,3,21,6720,0.0,6720.0
450,2025-06-22,5416,1043,2,25,10500,0.0,10500.0
